ride_name,type,design,scale,park_name,ride_status,ride_url,park_url,opened,closed,opened2,closed2,yro_best,yrc_best
snoopys_soap_box_racers,steel,sit_down,family,kings_island,under_constr,https://rcdb.com/21087.htm,https://rcdb.com/4540.htm,20240000,NA,20241111,NA,2024,NA
flying_ace_aerial_chase,steel,inverted,family,kings_island,operating,https://rcdb.com/1037.htm,https://rcdb.com/4540.htm,20010000,NA,20011111,NA,2001,NA
backlot_stunt_coaster,steel,sit_down,thrill,kings_island,operating,https://rcdb.com/2860.htm,https://rcdb.com/4540.htm,20050520,NA,20050520,NA,2005,NA
flight_of_fear,steel,sit_down,extreme,kings_island,operating,https://rcdb.com/66.htm,https://rcdb.com/4540.htm,19960000,NA,19961111,NA,1996,NA
beast,wood,sit_down,extreme,kings_island,operating,https://rcdb.com/67.htm,https://rcdb.com/4540.htm,19790414,NA,19790414,NA,1979,NA
racer,wood,sit_down,extreme,kings_island,operating,https://rcdb.com/69.htm,https://rcdb.com/4540.htm,19720429,NA,19720429,NA,1972,NA
adventure_express,steel,sit_down,thrill,kings_island,operating,https://rcdb.com/70.htm,https://rcdb.com/4540.htm,19910413,NA,19910413,NA,1991,NA
woodstock_express,wood,sit_down,family,kings_island,operating,https://rcdb.com/72.htm,https://rcdb.com/4540.htm,19720429,NA,19720429,NA,1972,NA
bat,steel,suspended,thrill,kings_island,operating,https://rcdb.com/73.htm,https://rcdb.com/4540.htm,19930409,NA,19930409,NA,1993,NA
great_pumpkin_coaster,steel,sit_down,family,kings_island,operating,https://rcdb.com/74.htm,https://rcdb.com/4540.htm,19920000,NA,19921111,NA,1992,NA
invertigo,steel,inverted,extreme,kings_island,operating,https://rcdb.com/530.htm,https://rcdb.com/4540.htm,19990417,NA,19990417,NA,1999,NA
diamondback,steel,sit_down,extreme,kings_island,operating,https://rcdb.com/4253.htm,https://rcdb.com/4540.htm,20090418,NA,20090418,NA,2009,NA
banshee,steel,inverted,extreme,kings_island,operating,https://rcdb.com/6640.htm,https://rcdb.com/4540.htm,20140418,NA,20140418,NA,2014,NA
orion,steel,sit_down,extreme,kings_island,operating,https://rcdb.com/11437.htm,https://rcdb.com/4540.htm,20200702,NA,20200702,NA,2020,NA
mystic_timbers,wood,sit_down,extreme,kings_island,operating,https://rcdb.com/14116.htm,https://rcdb.com/4540.htm,20170415,NA,20170415,NA,2017,NA
son_of_beast,wood,sit_down,extreme,kings_island,defunct,https://rcdb.com/584.htm,https://rcdb.com/4540.htm,20000526,20090600,20000526,20090611,2000,2009
bavarian_beetle,steel,sit_down,thrill,kings_island,defunct,https://rcdb.com/626.htm,https://rcdb.com/4540.htm,19720429,19780000,19720429,19781111,1972,1978
bat,steel,suspended,thrill,kings_island,defunct,https://rcdb.com/627.htm,https://rcdb.com/4540.htm,19810426,19830000,19810426,19831111,1981,1983
demon,steel,sit_down,extreme,kings_island,defunct,https://rcdb.com/313.htm,https://rcdb.com/4540.htm,19770416,19870000,19770416,19871111,1977,1987
scoobys_ghoster_coaster,steel,suspended,family,kings_island,defunct,https://rcdb.com/505.htm,https://rcdb.com/4540.htm,19980000,20050000,19981111,20051111,1998,2005
vortex,steel,sit_down,extreme,kings_island,defunct,https://rcdb.com/71.htm,https://rcdb.com/4540.htm,19870411,20191027,19870411,20191027,1987,2019
king_cobra,steel,stand_up,extreme,kings_island,defunct,https://rcdb.com/68.htm,https://rcdb.com/4540.htm,19840422,20011105,19840422,20011105,1984,2001
firehawk,steel,flying,extreme,kings_island,defunct,https://rcdb.com/3793.htm,https://rcdb.com/4540.htm,20070526,20181028,20070526,20181028,2007,2018
ninja,steel,suspended,thrill,six_flags_magic_mountain,operating,https://rcdb.com/129.htm,https://rcdb.com/4532.htm,19880521,NA,19880521,NA,1988,NA
new_revolution,steel,sit_down,extreme,six_flags_magic_mountain,operating,https://rcdb.com/130.htm,https://rcdb.com/4532.htm,19760508,NA,19760508,NA,1976,NA
superman_escape_from_krypton,steel,sit_down,extreme,six_flags_magic_mountain,operating,https://rcdb.com/140.htm,https://rcdb.com/4532.htm,19970315,NA,19970315,NA,1997,NA
gold_rusher,steel,sit_down,thrill,six_flags_magic_mountain,operating,https://rcdb.com/266.htm,https://rcdb.com/4532.htm,19710529,NA,19710529,NA,1971,NA
riddlers_revenge,steel,stand_up,extreme,six_flags_magic_mountain,operating,https://rcdb.com/470.htm,https://rcdb.com/4532.htm,19980404,NA,19980404,NA,1998,NA
canyon_blaster,steel,sit_down,family,six_flags_magic_mountain,operating,https://rcdb.com/576.htm,https://rcdb.com/4532.htm,19990000,NA,19991111,NA,1999,NA
goliath,steel,sit_down,extreme,six_flags_magic_mountain,operating,https://rcdb.com/615.htm,https://rcdb.com/4532.htm,20000211,NA,20000211,NA,2000,NA
batman_the_ride,steel,inverted,extreme,six_flags_magic_mountain,operating,https://rcdb.com/24.htm,https://rcdb.com/4532.htm,19940326,NA,19940326,NA,1994,NA
viper,steel,sit_down,extreme,six_flags_magic_mountain,operating,https://rcdb.com/25.htm,https://rcdb.com/4532.htm,19900407,NA,19900407,NA,1990,NA
magic_flyer,steel,sit_down,kiddie,six_flags_magic_mountain,operating,https://rcdb.com/749.htm,https://rcdb.com/4532.htm,19710000,NA,19711111,NA,1971,NA
x2,steel,wing,extreme,six_flags_magic_mountain,operating,https://rcdb.com/750.htm,https://rcdb.com/4532.htm,20020112,NA,20020112,NA,2002,NA
scream,steel,sit_down,extreme,six_flags_magic_mountain,operating,https://rcdb.com/2169.htm,https://rcdb.com/4532.htm,20030412,NA,20030412,NA,2003,NA
tatsu,steel,flying,extreme,six_flags_magic_mountain,operating,https://rcdb.com/3305.htm,https://rcdb.com/4532.htm,20060513,NA,20060513,NA,2006,NA
apocalypse_the_ride,wood,sit_down,extreme,six_flags_magic_mountain,operating,https://rcdb.com/4173.htm,https://rcdb.com/4532.htm,20090523,NA,20090523,NA,2009,NA
road_runner_express,steel,sit_down,family,six_flags_magic_mountain,operating,https://rcdb.com/4346.htm,https://rcdb.com/4532.htm,20110528,NA,20110528,NA,2011,NA
speedy_gonzales_hot_rod_racers,steel,sit_down,family,six_flags_magic_mountain,operating,https://rcdb.com/9971.htm,https://rcdb.com/4532.htm,20140625,NA,20140625,NA,2014,NA
full_throttle,steel,sit_down,extreme,six_flags_magic_mountain,operating,https://rcdb.com/10948.htm,https://rcdb.com/4532.htm,20130622,NA,20130622,NA,2013,NA
twisted_colossus,steel,sit_down,extreme,six_flags_magic_mountain,operating,https://rcdb.com/12282.htm,https://rcdb.com/4532.htm,20150523,NA,20150523,NA,2015,NA
west_coast_racers,steel,sit_down,extreme,six_flags_magic_mountain,operating,https://rcdb.com/16588.htm,https://rcdb.com/4532.htm,20200109,NA,20200109,NA,2020,NA
wonder_woman_flight_of_courage,steel,sit_down,extreme,six_flags_magic_mountain,operating,https://rcdb.com/19515.htm,https://rcdb.com/4532.htm,20220716,NA,20220716,NA,2022,NA
green_lantern_first_flight,steel,wing,extreme,six_flags_magic_mountain,defunct,https://rcdb.com/9519.htm,https://rcdb.com/4532.htm,20110701,20170000,20110701,20171111,2011,2017
colossus,wood,sit_down,extreme,six_flags_magic_mountain,defunct,https://rcdb.com/26.htm,https://rcdb.com/4532.htm,19780629,20140816,19780629,20140816,1978,2014
psyclone,wood,sit_down,extreme,six_flags_magic_mountain,defunct,https://rcdb.com/27.htm,https://rcdb.com/4532.htm,19910323,20060000,19910323,20061111,1991,2006
shockwave,steel,stand_up,extreme,six_flags_magic_mountain,defunct,https://rcdb.com/51.htm,https://rcdb.com/4532.htm,19860000,19880000,19861111,19881111,1986,1988
sarajevo_bobsleds,steel,bobsled,thrill,six_flags_magic_mountain,defunct,https://rcdb.com/98.htm,https://rcdb.com/4532.htm,19840000,19850000,19841111,19851111,1984,1985
flashback,steel,sit_down,extreme,six_flags_magic_mountain,defunct,https://rcdb.com/128.htm,https://rcdb.com/4532.htm,19920425,20030000,19920425,20031111,1992,2003
mountain_express,steel,sit_down,thrill,six_flags_magic_mountain,defunct,https://rcdb.com/709.htm,https://rcdb.com/4532.htm,19730000,19820000,19731111,19821111,1973,1982
deja_vu,steel,inverted,extreme,six_flags_magic_mountain,defunct,https://rcdb.com/748.htm,https://rcdb.com/4532.htm,20010825,20111016,20010825,20111016,2001,2011
raptor,steel,inverted,extreme,cedar_point,operating,https://rcdb.com/1.htm,https://rcdb.com/4529.htm,19940507,NA,19940507,NA,1994,NA
rougarou,steel,sit_down,extreme,cedar_point,operating,https://rcdb.com/7.htm,https://rcdb.com/4529.htm,19960511,NA,19960511,NA,1996,NA
magnum_xl200,steel,sit_down,extreme,cedar_point,operating,https://rcdb.com/11.htm,https://rcdb.com/4529.htm,19890506,NA,19890506,NA,1989,NA
blue_streak,wood,sit_down,thrill,cedar_point,operating,https://rcdb.com/12.htm,https://rcdb.com/4529.htm,19640523,NA,19640523,NA,1964,NA
corkscrew,steel,sit_down,extreme,cedar_point,operating,https://rcdb.com/13.htm,https://rcdb.com/4529.htm,19760515,NA,19760515,NA,1976,NA
gemini,steel,sit_down,thrill,cedar_point,operating,https://rcdb.com/14.htm,https://rcdb.com/4529.htm,19780600,NA,19780611,NA,1978,NA
wilderness_run,steel,sit_down,kiddie,cedar_point,operating,https://rcdb.com/15.htm,https://rcdb.com/4529.htm,19790000,NA,19791111,NA,1979,NA
woodstock_express,steel,sit_down,family,cedar_point,operating,https://rcdb.com/553.htm,https://rcdb.com/4529.htm,19990510,NA,19990510,NA,1999,NA
millennium_force,steel,sit_down,extreme,cedar_point,operating,https://rcdb.com/594.htm,https://rcdb.com/4529.htm,20000513,NA,20000513,NA,2000,NA
iron_dragon,steel,suspended,thrill,cedar_point,operating,https://rcdb.com/17.htm,https://rcdb.com/4529.htm,19870611,NA,19870611,NA,1987,NA
cedar_creek_mine_ride,steel,sit_down,thrill,cedar_point,operating,https://rcdb.com/18.htm,https://rcdb.com/4529.htm,19690524,NA,19690524,NA,1969,NA
maverick,steel,sit_down,extreme,cedar_point,operating,https://rcdb.com/3570.htm,https://rcdb.com/4529.htm,20070526,NA,20070526,NA,2007,NA
gatekeeper,steel,wing,extreme,cedar_point,operating,https://rcdb.com/10891.htm,https://rcdb.com/4529.htm,20130511,NA,20130511,NA,2013,NA
valravn,steel,sit_down,extreme,cedar_point,operating,https://rcdb.com/13383.htm,https://rcdb.com/4529.htm,20160507,NA,20160507,NA,2016,NA
steel_vengeance,steel,sit_down,extreme,cedar_point,operating,https://rcdb.com/15411.htm,https://rcdb.com/4529.htm,20180505,NA,20180505,NA,2018,NA
wild_mouse,steel,sit_down,thrill,cedar_point,operating,https://rcdb.com/20342.htm,https://rcdb.com/4529.htm,20230506,NA,20230506,NA,2023,NA
top_thrill_2,steel,sit_down,extreme,cedar_point,sbno,https://rcdb.com/1896.htm,https://rcdb.com/4529.htm,20030504,NA,20030504,NA,2003,NA
broadway_trip,steel,sit_down,family,cedar_point,defunct,https://rcdb.com/2362.htm,https://rcdb.com/4529.htm,19640000,19640000,19641111,19641111,1964,1964
little_dipper,steel,sit_down,kiddie,cedar_point,defunct,https://rcdb.com/18488.htm,https://rcdb.com/4529.htm,19520000,19520000,19521111,19521111,1952,1952
disaster_transport,steel,bobsled,thrill,cedar_point,defunct,https://rcdb.com/19.htm,https://rcdb.com/4529.htm,19850000,20120729,19851111,20120729,1985,2012
wildcat,steel,sit_down,thrill,cedar_point,defunct,https://rcdb.com/20.htm,https://rcdb.com/4529.htm,19790000,20110000,19791111,20111111,1979,2011
wildcat,steel,sit_down,thrill,cedar_point,defunct,https://rcdb.com/114.htm,https://rcdb.com/4529.htm,19700523,19780000,19700523,19781111,1970,1978
jumbo_jet,steel,sit_down,thrill,cedar_point,defunct,https://rcdb.com/355.htm,https://rcdb.com/4529.htm,19720000,19780000,19721111,19781111,1972,1978
wicked_twister,steel,inverted,extreme,cedar_point,defunct,https://rcdb.com/1571.htm,https://rcdb.com/4529.htm,20020505,20210906,20020505,20210906,2002,2021
cyclone,wood,sit_down,NA,cedar_point,defunct,https://rcdb.com/1580.htm,https://rcdb.com/4529.htm,19290000,19510000,19291111,19511111,1929,1951
