ride_url,length.ft,height.ft,speed.mph
https://rcdb.com/530.htm,1013.8,131.3,50
https://rcdb.com/21087.htm,672.6,75.5,37.3
https://rcdb.com/1037.htm,1122,48.6,26
https://rcdb.com/2860.htm,1960,45.2,40
https://rcdb.com/66.htm,2705,74.2,54
https://rcdb.com/67.htm,7361,110,64.8
https://rcdb.com/70.htm,2963,63,35
https://rcdb.com/72.htm,1350,38.6,35
https://rcdb.com/73.htm,2352,78,51
https://rcdb.com/4253.htm,5282,230,80
https://rcdb.com/6640.htm,4124,167,68
https://rcdb.com/11437.htm,5321,287,91
https://rcdb.com/14116.htm,3265,109.2,53
https://rcdb.com/584.htm,7032,218,78.4
https://rcdb.com/627.htm,2456,100,34
https://rcdb.com/313.htm,635,56,45
https://rcdb.com/71.htm,3800,148,55
https://rcdb.com/68.htm,2219,95,50
https://rcdb.com/3793.htm,3339.9,115,50
https://rcdb.com/129.htm,2700,60,55
https://rcdb.com/130.htm,3457,113,55
https://rcdb.com/266.htm,2590,70,35
https://rcdb.com/470.htm,4370,156,65
https://rcdb.com/615.htm,4500,235,85
https://rcdb.com/24.htm,2700,105,50
https://rcdb.com/25.htm,3830,188,70
https://rcdb.com/749.htm,350,10,10
https://rcdb.com/750.htm,3610,175,76
https://rcdb.com/2169.htm,3985,150,63
https://rcdb.com/3305.htm,3602,170,62
https://rcdb.com/4173.htm,2877,95,50.1
https://rcdb.com/4346.htm,679.1,27.9,21.7
https://rcdb.com/10948.htm,2200,164,70
https://rcdb.com/12282.htm,4990,121,57
https://rcdb.com/16588.htm,4000,67,55
https://rcdb.com/19515.htm,3300,131,58
https://rcdb.com/9519.htm,810.4,105,34.2
https://rcdb.com/98.htm,1490,60,32
https://rcdb.com/128.htm,1900,86,35
https://rcdb.com/709.htm,1837,50,40
https://rcdb.com/748.htm,1204.1,177.2,61.5
https://rcdb.com/1.htm,3790,137,57
https://rcdb.com/7.htm,3900,145,60
https://rcdb.com/11.htm,5106,205,72
https://rcdb.com/12.htm,2558,78,40
https://rcdb.com/13.htm,2050,85,48
https://rcdb.com/15.htm,443,19,6
https://rcdb.com/553.htm,1099.1,42.7,28.5
https://rcdb.com/594.htm,6595,310,93
https://rcdb.com/17.htm,2800,76,40
https://rcdb.com/18.htm,2540,48,42
https://rcdb.com/3570.htm,4450,105,70
https://rcdb.com/10891.htm,4164,170,67
https://rcdb.com/13383.htm,3415,223,75
https://rcdb.com/15411.htm,5740,205,74
https://rcdb.com/20342.htm,1312,52,35
https://rcdb.com/1896.htm,2800,420,120
https://rcdb.com/19.htm,1932,63,40
https://rcdb.com/20.htm,1837,50,40
https://rcdb.com/1571.htm,689,216.5,72.1
https://rcdb.com/16.htm,5427,161,65
https://rcdb.com/1976.htm,2759,106,51
https://rcdb.com/2832.htm,3118,456,128
https://rcdb.com/3183.htm,4400,181,70
https://rcdb.com/8932.htm,4155,154,63
https://rcdb.com/13421.htm,1019,120,38
https://rcdb.com/17658.htm,3000,130,58
https://rcdb.com/32.htm,2693,105,50
https://rcdb.com/35.htm,1377,40.5,33
https://rcdb.com/502.htm,3985,142,61
