year,n_parks,n_rides,rides_w.height,rides_w.length,rides_w.speed,avg_height,avg_length,avg_speed,max_height,max_length,max_speed,total_length
1892,1,1,1,0,1,25,NA,10,25,-Inf,10,0
1893,1,1,1,0,1,25,NA,10,25,-Inf,10,0
1894,1,1,1,0,1,25,NA,10,25,-Inf,10,0
1895,1,1,1,0,1,25,NA,10,25,-Inf,10,0
1896,1,1,1,0,1,25,NA,10,25,-Inf,10,0
1897,1,1,1,0,1,25,NA,10,25,-Inf,10,0
1898,1,1,1,0,1,25,NA,10,25,-Inf,10,0
1899,1,1,1,0,1,25,NA,10,25,-Inf,10,0
1900,1,1,1,0,1,25,NA,10,25,-Inf,10,0
1901,1,1,1,0,1,25,NA,10,25,-Inf,10,0
1902,1,1,1,1,0,46,2500,NA,46,2500,-Inf,2500
1903,1,1,1,1,0,46,2500,NA,46,2500,-Inf,2500
1904,1,1,1,1,0,46,2500,NA,46,2500,-Inf,2500
1905,1,1,1,1,0,46,2500,NA,46,2500,-Inf,2500
1906,1,1,1,1,0,46,2500,NA,46,2500,-Inf,2500
1907,1,1,1,1,0,46,2500,NA,46,2500,-Inf,2500
1908,1,2,2,2,0,39.5,3350,NA,46,4200,-Inf,6700
1909,1,2,2,2,0,39.5,3350,NA,46,4200,-Inf,6700
1910,1,2,2,1,0,39.5,4200,NA,46,4200,-Inf,4200
1911,2,3,2,2,0,39.5,2550,NA,46,4200,-Inf,5100
1912,3,5,2,2,0,39.5,2550,NA,46,4200,-Inf,5100
1913,3,5,2,2,0,39.5,2550,NA,46,4200,-Inf,5100
1914,3,5,2,2,0,39.5,2550,NA,46,4200,-Inf,5100
1915,3,6,2,2,0,39.5,2550,NA,46,4200,-Inf,5100
1916,3,6,2,2,0,39.5,2550,NA,46,4200,-Inf,5100
1917,3,6,2,2,0,39.5,2550,NA,46,4200,-Inf,5100
1918,3,6,2,1,0,60.5,900,NA,75,900,-Inf,900
1919,3,6,2,1,0,60.5,900,NA,75,900,-Inf,900
1920,4,7,3,2,1,53.666666666666664,1516,45,75,2132,45,3032
1921,5,8,4,3,2,55.75,1844,45,75,2500,45,5532
1922,5,8,4,3,2,55.75,1844,45,75,2500,45,5532
1923,6,9,4,4,2,55.75,1965.75,45,75,2500,45,7863
1924,8,12,7,7,5,63.285714285714285,2360,49,80,3250,55,16520
1925,8,12,7,7,5,63.285714285714285,2360,49,80,3250,55,16520
1926,8,12,7,7,5,63.285714285714285,2360,49,80,3250,55,16520
1927,9,14,10,9,8,67.55,2857.366666666667,49.125,85,4500,60,25716.3
1928,9,15,10,9,8,67.55,2857.366666666667,49.125,85,4500,60,25716.3
1929,9,15,9,9,8,69.94444444444444,2857.366666666667,49.125,85,4500,60,25716.3
1930,9,15,9,9,8,69.94444444444444,2857.366666666667,49.125,85,4500,60,25716.3
1931,9,15,9,9,8,69.94444444444444,2857.366666666667,49.125,85,4500,60,25716.3
1932,9,15,9,9,8,69.94444444444444,2857.366666666667,49.125,85,4500,60,25716.3
1933,9,15,9,9,8,69.94444444444444,2857.366666666667,49.125,85,4500,60,25716.3
1934,8,12,9,9,8,69.94444444444444,2857.366666666667,49.125,85,4500,60,25716.3
1935,8,12,9,9,8,69.94444444444444,2857.366666666667,49.125,85,4500,60,25716.3
1936,9,12,10,10,9,69.3,2771.63,47.55555555555556,85,4500,60,27716.3
1937,9,12,10,10,9,69.3,2771.63,47.55555555555556,85,4500,60,27716.3
1938,9,12,10,10,9,69.3,2771.63,47.55555555555556,85,4500,60,27716.3
1939,9,12,10,10,9,69.3,2771.63,47.55555555555556,85,4500,60,27716.3
1940,9,12,10,10,9,69.3,2771.63,47.55555555555556,85,4500,60,27716.3
1941,10,12,10,11,10,68.8,2756.0272727272727,46.8,85,4500,60,30316.3
1942,10,12,10,11,10,68.8,2756.0272727272727,46.8,85,4500,60,30316.3
1943,10,12,10,11,10,68.8,2756.0272727272727,46.8,85,4500,60,30316.3
1944,10,12,10,11,10,68.8,2756.0272727272727,46.8,85,4500,60,30316.3
1945,10,12,10,11,10,68.8,2756.0272727272727,46.8,85,4500,60,30316.3
1946,10,12,11,11,11,70.18181818181819,2849.572727272727,47.09090909090909,85,4500,60,31345.3
1947,10,12,11,11,11,70.18181818181819,2849.572727272727,47.09090909090909,85,4500,60,31345.3
1948,10,12,11,11,11,70.18181818181819,2849.572727272727,47.09090909090909,85,4500,60,31345.3
1949,10,12,11,11,11,70.18181818181819,2849.572727272727,47.09090909090909,85,4500,60,31345.3
1950,10,12,11,11,11,70.18181818181819,2849.572727272727,47.09090909090909,85,4500,60,31345.3
1951,11,13,12,12,12,67.41666666666667,2720.4416666666666,45.25,85,4500,60,32645.3
1952,11,13,12,12,12,67.41666666666667,2720.4416666666666,45.25,85,4500,60,32645.3
1953,11,13,12,12,12,67.41666666666667,2720.4416666666666,45.25,85,4500,60,32645.3
1954,12,14,13,13,13,64.61538461538461,2606.5615384615385,43.53846153846154,85,4500,60,33885.3
1955,12,14,13,13,13,64.61538461538461,2606.5615384615385,43.53846153846154,85,4500,60,33885.3
1956,13,15,14,14,14,62.5,2514.6642857142856,42.214285714285715,85,4500,60,35205.3
1957,13,15,14,14,14,62.5,2514.6642857142856,42.214285714285715,85,4500,60,35205.3
1958,13,15,14,14,14,62.5,2514.6642857142856,42.214285714285715,85,4500,60,35205.3
1959,13,16,14,15,14,62.5,2433.6866666666665,42.214285714285715,85,4500,60,36505.3
1960,13,16,14,15,14,62.5,2433.6866666666665,42.214285714285715,85,4500,60,36505.3
1961,14,17,14,15,14,62.5,2433.6866666666665,42.214285714285715,85,4500,60,36505.3
1962,14,18,14,15,14,62.5,2433.6866666666665,42.214285714285715,85,4500,60,36505.3
1963,14,18,14,15,14,62.5,2433.6866666666665,42.214285714285715,85,4500,60,36505.3
1964,14,19,15,15,15,63.53333333333333,2517.5533333333333,42.06666666666667,85,4500,60,37763.3
1965,13,17,15,15,15,63.53333333333333,2517.5533333333333,42.06666666666667,85,4500,60,37763.3
1966,14,18,16,16,15,61.75,2515.51875,42.06666666666667,85,4500,60,40248.3
1967,16,20,18,18,17,59.44444444444444,2471.9055555555556,40.88235294117647,85,4500,60,44494.3
1968,16,21,18,18,17,59.44444444444444,2471.9055555555556,40.88235294117647,85,4500,60,44494.3
1969,16,24,20,20,18,56.9,2397.215,40.94444444444444,85,4500,60,47944.3
1970,17,25,21,21,19,56.3,2367.114285714286,40.426315789473684,85,4500,60,49709.4
1971,19,30,26,26,24,54.12692307692308,2322.0923076923077,39.12916666666667,85,4500,60,60374.4
1972,20,35,31,31,26,53.83548387096774,2156.1096774193547,39.503846153846155,88,4500,60,66839.4
1973,22,40,34,35,29,55.31470588235294,2203.04,40.182758620689654,105,4500,60,77106.4
1974,24,45,36,36,31,54.88055555555555,2180.3166666666666,39.94516129032258,105,4500,60,78491.4
1975,26,51,38,39,33,56.07105263157895,2165.7923076923075,40.61515151515152,105,4500,60,84465.9
1976,30,71,52,53,45,61.63461538461539,2240.8,42.60666666666667,113,4500,62,118762.4
1977,31,78,58,60,51,65.08103448275862,2114.325,43.24313725490196,137.8,4500,62,126859.5
1978,33,88,67,69,62,71.25074626865671,2197.18115942029,44.829032258064515,148,4500,62,151605.5
1979,34,89,71,73,67,71.46197183098592,2258.8561643835615,44.644776119402984,148,7361,64.8,164896.5
1980,34,93,75,77,71,72.28666666666666,2260.105194805195,44.5943661971831,148,7361,64.8,174028.1
